genres,release_date,tags,specs,price,sentiment,metascore
['Action'],2004-04-20,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",['Single-player'],9.99,Mixed,75
['Racing'],2003-07-01,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']","['Single-player', 'Multi-player']",9.99,Very Positive,81
['Action'],2003-10-14,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",['Single-player'],9.99,Very Positive,86
"['Action', 'Adventure']",2006-04-07,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']","['Single-player', 'Partial Controller Support']",6.99,Very Positive,82
['Action'],2001-07-25,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",['Single-player'],9.99,Very Positive,89
['Strategy'],2008-10-28,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",['Single-player'],19.99,Very Positive,82
['Casual'],2007-10-10,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']","['Single-player', 'Multi-player', 'Steam Cloud']",9.99,Very Positive,84
"['RPG', 'Casual', 'Adventure']",2007-10-23,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",['Single-player'],9.99,Very Positive,66
['Action'],2008-02-08,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",['Single-player'],5.99,Mixed,58
['Action'],2007-05-08,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']","['Single-player', 'Multi-player', 'Includes level editor']",7.99,Mixed,74
['Simulation'],2006-02-21,"['Simulation', 'Management', 'City Builder']",['Single-player'],9.99,Mostly Negative,67
['Action'],2006-05-02,"['Action', 'Western', 'Strategy', 'Tactical']",['Single-player'],9.99,Mixed,66
"['Action', 'Adventure']",2007-10-16,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']","['Single-player', 'Steam Cloud']",4.99,Mostly Positive,69
['Action'],2006-05-30,"['Action', 'Strategy', 'RTS']","['Single-player', 'Multi-player']",2.99,Very Positive,74
"['Simulation', 'Strategy']",2006-10-26,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",['Single-player'],19.99,Very Positive,81
['Action'],2005-03-14,"['Action', 'Strategy', 'RTS']","['Single-player', 'Multi-player']",2.99,Very Positive,82
['Action'],2003-02-03,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",['Single-player'],14.99,Mostly Positive,75
"['Casual', 'Indie']",2008-03-21,"['Indie', 'Casual', 'Ninja']","['Single-player', 'Multi-player', 'Steam Achievements']",4.99,Positive,57
['Action'],2003-02-18,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",['Single-player'],9.99,Very Positive,91
['Action'],2004-03-23,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",['Single-player'],9.99,Very Positive,89
['Action'],2000-10-25,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']","['Single-player', 'Multi-player']",9.99,Overwhelmingly Positive,92
['Action'],2006-12-12,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']","['Single-player', 'Multi-player']",9.99,Mostly Positive,85
['Simulation'],2005-03-15,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']","['Single-player', 'Multi-player', 'Co-op']",9.99,Very Positive,90
"['Action', 'Adventure']",2007-03-27,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",['Single-player'],9.99,Mostly Positive,58
['Simulation'],2007-03-20,"['Simulation', 'World War II', 'Naval', 'Military']","['Single-player', 'Multi-player']",9.99,Mixed,79
['Simulation'],2006-12-15,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']","['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,Very Positive,86
['Adventure'],2005-09-15,"['Adventure', 'Point & Click']",['Single-player'],9.99,Mixed,68
['Adventure'],2006-04-12,"['Adventure', 'Point & Click']",['Single-player'],9.99,Mixed,76
['Adventure'],2008-05-20,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",['Single-player'],9.99,Mixed,70
"['Adventure', 'RPG']",2008-04-14,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",['Single-player'],9.99,Mostly Positive,71
"['Simulation', 'Strategy']",2007-05-25,"['Simulation', 'Strategy', 'World War II', 'Naval']","['Single-player', 'Multi-player', 'Steam Trading Cards']",7.99,Mixed,60
['Racing'],2008-08-19,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']","['Single-player', 'Multi-player']",19.99,Very Positive,79
['Racing'],2008-09-01,"['Racing', 'Simulation', 'Driving', 'Multiplayer', 'Singleplayer']","['Single-player', 'Multi-player', 'Downloadable Content']",7.99,Positive,83
['Strategy'],2001-04-19,"['Strategy', 'Shooter', 'Action', 'Third-Person Shooter', 'Sci-fi', 'Aliens']","['Single-player', 'Multi-player']",4.99,Mixed,65
"['Action', 'RPG']",2008-09-15,"['Open World', 'Atmospheric', 'Post-apocalyptic', 'FPS', 'Survival', 'Action', 'RPG', 'First-Person', 'Shooter', 'Singleplayer', 'Survival Horror', 'Adventure', 'Moddable', 'Sci-fi', 'Horror', 'Classic', 'Multiplayer', 'Zombies', 'Inventory Management', 'Sandbox']","['Single-player', 'Multi-player']",9.99,Very Positive,75
['Action'],2008-09-17,"['Action', 'FPS', 'Sci-fi', 'Shooter', 'Singleplayer', 'Aliens', 'Military', 'First-Person', 'Multiplayer', 'Benchmark', 'Stealth', 'Adventure', 'Open World', 'Futuristic']",['Single-player'],19.99,Very Positive,84
['Action'],2007-11-13,"['FPS', 'Action', 'Sci-fi', 'Singleplayer', 'Stealth', 'Shooter', 'Aliens', 'Open World', 'First-Person', 'Benchmark', 'Multiplayer', 'Futuristic', 'Adventure', 'Atmospheric', 'Story Rich', 'Classic', 'Sandbox', 'Great Soundtrack', 'Destruction', 'Moddable']",['Single-player'],19.99,Very Positive,91
"['Action', 'RPG']",2008-09-16,"['RPG', 'Fantasy', 'Story Rich', 'Mature', 'Third Person', 'Singleplayer', 'Choices Matter', 'Action', 'Nudity', 'Adventure', 'Dark Fantasy', 'Based On A Novel', 'Atmospheric', 'Great Soundtrack', 'Open World', 'Multiple Endings', 'Medieval', 'Action RPG', 'Magic', 'Classic']","['Single-player', 'Steam Cloud']",9.99,Very Positive,86
['Indie'],2008-09-19,"['Indie', 'Strategy', 'RTS', 'Multiplayer', 'Singleplayer', 'Retro']","['Single-player', 'Multi-player', 'Steam Achievements']",9.99,Very Positive,76
['Strategy'],2008-09-23,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical', 'Singleplayer', 'Multiplayer', 'Moddable']","['Single-player', 'Multi-player']",19.99,Mostly Positive,83
['Action'],2003-03-18,"['Tactical', 'Action', 'FPS', 'Simulation', 'Strategy', 'Realistic', 'First-Person', 'Co-op', 'Shooter', 'Classic', 'Singleplayer']",['Single-player'],9.99,Very Positive,85
"['Action', 'Adventure']",2008-09-29,"['LEGO', 'Action', 'Adventure', 'Batman', 'Local Co-Op', 'Superhero', 'Family Friendly', 'Co-op', 'Comedy', 'Singleplayer', 'Comic Book', 'Funny', 'Third Person', 'Controller', 'Local Multiplayer', 'Multiplayer']","['Single-player', 'Shared/Split Screen', 'Full controller support']",19.99,Very Positive,80
"['RPG', 'Strategy']",2008-09-30,"['RPG', 'Strategy', 'Fantasy', 'Action RPG', 'Action', 'Singleplayer', 'City Builder']","['Single-player', 'Steam Achievements']",9.99,Mostly Positive,65
['Action'],2008-10-08,"['Action', 'World War II', 'FPS', 'Tactical', 'Singleplayer', 'Military', 'Story Rich', 'Shooter', 'Gore', 'Atmospheric', 'Strategy', 'First-Person', 'War', 'Multiplayer', 'Historical']",['Single-player'],9.99,Very Positive,79
['Strategy'],2006-11-14,"['Strategy', 'Turn-Based Strategy', 'Turn-Based', 'Fantasy']",['Single-player'],9.99,Mostly Positive,66
['Action'],2005-10-04,"['Action', 'FPS', 'World War II', 'Tactical', 'Military', 'Strategy', 'Singleplayer']",['Single-player'],9.99,Very Positive,84
['Strategy'],2007-10-16,"['Strategy', 'Turn-Based Strategy', 'Turn-Based', 'Fantasy', 'Multiplayer', 'Singleplayer', 'RPG']",['Single-player'],9.99,Very Positive,70
['Strategy'],2008-04-18,"['Strategy', 'City Builder', 'Medieval', 'RTS', 'Singleplayer', 'Multiplayer']",['Single-player'],19.99,Mostly Positive,66
['Action'],2002-05-31,"['Action', 'Tactical']","['Single-player', 'Multi-player']",9.99,Positive,72
['Casual'],2008-10-15,"['Casual', 'Puzzle', 'Singleplayer', '2D']",['Single-player'],4.99,Very Positive,76
['Indie'],2008-10-13,"['Puzzle', 'Indie', 'Physics', 'Singleplayer', 'Great Soundtrack', 'Casual', '2D', 'Comedy', 'Cute', 'Building', 'Atmospheric', 'Funny', 'Satire', 'Touch-Friendly', 'Strategy', 'Classic', 'Surreal', 'Story Rich', 'Difficult', 'Family Friendly']","['Single-player', 'Steam Achievements']",9.99,Very Positive,90
"['Action', 'Simulation', 'Strategy']",2008-10-16,"['Space', 'Simulation', 'Sci-fi', 'Sandbox', 'Strategy', 'Space Sim', 'Open World', 'Trading', 'Singleplayer', 'Economy', 'Action', 'Capitalism', 'Great Soundtrack', 'Moddable', '4X', 'Flight', 'Atmospheric', 'Multiplayer']","['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,Very Positive,73
"['Action', 'Adventure']",2008-10-21,"['Open World', 'Action', 'Adventure', 'Third Person', 'Comedy', 'Singleplayer', 'Great Soundtrack', 'Funny', 'Classic', 'Sandbox', 'Dark Humor', 'Satire', 'Story Rich', 'Atmospheric', 'Exploration', 'Simulation', 'Controller', 'Mature', 'Multiplayer', 'First-Person']","['Single-player', 'Partial Controller Support']",14.99,Very Positive,72
['Action'],2008-10-22,"['Open World', 'FPS', 'Action', 'Shooter', 'Singleplayer', 'First-Person', 'Multiplayer', 'Adventure', 'Sandbox', 'Stealth', 'Atmospheric', 'Survival', 'Level Editor', 'Realistic', 'Exploration', 'Story Rich', 'Great Soundtrack', 'Controller', 'Co-op', 'Strategy']","['Single-player', 'Multi-player']",9.99,Mostly Positive,85
['Action'],2009-01-28,"['Open World', 'Action', 'Sandbox', 'Character Customization', 'Third-Person Shooter', 'Comedy', 'Co-op', 'Third Person', 'Singleplayer', 'Crime', 'Online Co-Op', 'Multiplayer', 'Co-op Campaign', 'Funny', 'Shooter', 'Replay Value', 'Female Protagonist', 'Great Soundtrack', 'Moddable', 'Adventure']","['Single-player', 'Steam Cloud']",9.99,Mostly Positive,72
['Action'],2008-10-20,"['Horror', 'Action', 'Sci-fi', 'Space', 'Third Person', 'Survival Horror', 'Atmospheric', 'Third-Person Shooter', 'Singleplayer', 'Gore', 'Shooter', 'Aliens', 'Dark', 'Futuristic', 'Story Rich', 'Silent Protagonist', 'Survival', 'Adventure', 'Zombies', 'RPG']","['Single-player', 'Full controller support']",19.99,Very Positive,86
['RPG'],2008-12-16,"['RPG', 'Action', 'Adventure', 'Mythology', 'Hack and Slash', 'Third Person', 'Fantasy']","['Single-player', 'Full controller support']",9.99,Mostly Positive,59
"['Action', 'Adventure']",2009-01-13,"['Parkour', 'First-Person', 'Action', 'Female Protagonist', 'Singleplayer', 'Great Soundtrack', 'Adventure', 'Platformer', 'Atmospheric', 'Dystopian', 'Stylized', 'Sci-fi', 'Futuristic', 'FPS', 'Time Attack', 'Cyberpunk', 'Puzzle', 'Colorful', 'Classic', 'Short']","['Single-player', 'Full controller support', 'Partial Controller Support']",19.99,Very Positive,81
"['Indie', 'Strategy']",2008-12-08,"['Tower Defense', 'Strategy', 'Sci-fi', 'Indie', 'Singleplayer', 'Aliens', 'Futuristic', 'Touch-Friendly', 'Replay Value', 'Adventure', 'Controller']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,Overwhelmingly Positive,81
['Action'],2009-02-12,"['Horror', 'FPS', 'Action', 'Singleplayer', 'Shooter', 'Bullet Time', 'Gore', 'Multiplayer', 'Psychological Horror', 'First-Person', 'Atmospheric', 'Sci-fi', 'Classic', 'Story Rich']","['Single-player', 'Multi-player']",14.99,Very Positive,79
"['Action', 'Indie']",2009-03-19,"['Action', 'Indie', 'Top-Down', 'Horror', 'Shooter', 'RPG', 'Zombies', 'Arcade', 'Top-Down Shooter', 'Singleplayer', '2D', 'Casual', 'Atmospheric', 'Retro', 'Adventure']","['Single-player', 'Steam Achievements']",4.99,Mostly Positive,64
['Strategy'],2005-05-10,"['Strategy', 'Medieval', 'Grand Strategy', 'RTS', 'War', 'Historical', 'Classic', 'Great Soundtrack']","['Single-player', 'Multi-player']",9.99,Very Positive,77
"['Action', 'Adventure', 'Strategy']",2009-02-27,"['Adventure', 'Point & Click', 'Strategy', 'Action', 'Comedy', 'Villain Protagonist']",['Single-player'],5.99,Very Positive,73
['Action'],2009-03-04,"['Action', 'Superhero', ""Beat 'em up"", 'Local Co-Op', 'Third Person', 'Fighting']","['Single-player', 'Multi-player', 'Shared/Split Screen']",4.99,Mixed,61
"['Action', 'Adventure', 'Indie']",2007-03-30,"['Horror', 'Adventure', 'First-Person', 'Indie', 'Survival Horror', 'Psychological Horror', 'Atmospheric', 'Singleplayer', 'Stealth', 'Story Rich', 'Action', 'Dark', 'Lovecraftian', 'Survival', 'Puzzle']","['Single-player', 'Captions available']",9.99,Very Positive,73
['Action'],2007-11-19,"['FPS', 'Action', 'Multiplayer', 'Arena Shooter', 'Shooter', 'Sci-fi', 'Fast-Paced', 'First-Person', 'Competitive', 'Gore', 'Co-op', 'Great Soundtrack', 'Classic', 'Singleplayer', 'Team-Based', 'Adventure', 'Atmospheric', 'Moddable', 'Split Screen', 'Futuristic']","['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",19.99,Very Positive,83
['RPG'],2009-02-27,"['RPG', 'Fantasy', 'Party-Based RPG', 'Real-Time with Pause', 'Atmospheric', 'Adventure', 'Singleplayer', 'CRPG', 'Dark Fantasy', 'Third Person', 'Story Rich', 'Character Customization']",['Single-player'],9.99,Very Positive,75
['Racing'],2009-02-03,"['Racing', 'Open World', 'Multiplayer', 'Destruction', 'Great Soundtrack', 'Driving', 'Singleplayer', 'Arcade', 'Exploration', 'Sandbox', 'Action', 'Co-op', 'Controller', 'Sports', 'Fast-Paced', '3D Vision', 'Third Person', 'Funny', 'Online Co-Op', 'Simulation']","['Single-player', 'Multi-player']",19.99,Very Positive,87
"['Action', 'Indie']",2009-03-09,"['Indie', 'Platformer', 'Cute', 'Action', 'Puzzle', 'Casual', 'Comedy', '3D Platformer']","['Single-player', 'Steam Achievements']",9.99,Very Positive,75
['RPG'],2009-04-30,"['RPG', 'Open World', 'Fantasy', 'Multiplayer', 'Third Person', 'Adventure', 'Singleplayer', 'Action', 'Medieval', 'Action RPG', 'Story Rich', 'Character Customization']","['Single-player', 'Multi-player', 'Online Multi-Player', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Partial Controller Support']",9.99,Mostly Positive,65
['Strategy'],2009-04-30,"['Strategy', 'Western']",['Single-player'],9.99,Mixed,65
"['Action', 'Adventure', 'RPG']",2009-02-10,"['Action', 'Hack and Slash', 'Female Protagonist', 'RPG', 'Anime', 'Adventure', 'Nudity', 'Singleplayer', 'Fantasy', 'Violent', 'Character Action Game', 'Third Person', 'Great Soundtrack']","['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,Mixed,54
"['Action', 'Indie']",2009-04-21,"['Action', 'Indie', 'Surreal', ""Beat 'em up"", 'FPS', 'Fighting', 'First-Person', 'Short', 'Singleplayer', 'Adventure', 'Fantasy', 'Atmospheric', 'Story Rich']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,Very Positive,77
"['RPG', 'Strategy']",2008-09-23,"['RPG', 'Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Adventure', 'Hex Grid', 'Tactical', 'Tactical RPG', 'Singleplayer', 'Atmospheric', 'Turn-Based Combat', 'Great Soundtrack', 'Classic', 'Open World']","['Single-player', 'Steam Cloud']",6.99,Very Positive,79
['Racing'],2009-05-06,"['Racing', 'Action']","['Single-player', 'Steam Cloud']",2.99,Mixed,53
"['RPG', 'Strategy']",2002-03-26,"['RPG', 'Strategy', 'Superhero', 'Real-Time with Pause', 'Singleplayer', 'Comic Book', 'Classic', 'Multiplayer', 'Tactical']","['Single-player', 'Multi-player']",4.99,Mixed,90
