price,metascore,Racing,RPG,Strategy,Free to Play,Adventure,Action,Casual,Simulation,Massively Multiplayer,Indie,Early Access,Sports,year
9.99,75,0,1,0,0,0,1,0,0,0,0,0,0,2008
19.99,84,0,0,0,0,0,1,0,0,0,0,0,0,2008
19.99,91,0,0,0,0,0,1,0,0,0,0,0,0,2007
9.99,86,0,1,0,0,0,1,0,0,0,0,0,0,2008
9.99,76,0,0,0,0,0,0,0,0,0,1,0,0,2008
19.99,83,0,0,1,0,0,0,0,0,0,0,0,0,2008
9.99,85,0,0,0,0,0,1,0,0,0,0,0,0,2003
19.99,80,0,0,0,0,1,1,0,0,0,0,0,0,2008
9.99,65,0,1,1,0,0,0,0,0,0,0,0,0,2008
9.99,79,0,0,0,0,0,1,0,0,0,0,0,0,2008
9.99,66,0,0,1,0,0,0,0,0,0,0,0,0,2006
9.99,84,0,0,0,0,0,1,0,0,0,0,0,0,2005
9.99,70,0,0,1,0,0,0,0,0,0,0,0,0,2007
19.99,66,0,0,1,0,0,0,0,0,0,0,0,0,2008
9.99,72,0,0,0,0,0,1,0,0,0,0,0,0,2002
4.99,76,0,0,0,0,0,0,1,0,0,0,0,0,2008
9.99,90,0,0,0,0,0,0,0,0,0,1,0,0,2008
15.99,73,0,0,1,0,0,1,0,1,0,0,0,0,2008
14.99,72,0,0,0,0,1,1,0,0,0,0,0,0,2008
9.99,85,0,0,0,0,0,1,0,0,0,0,0,0,2008
9.99,72,0,0,0,0,0,1,0,0,0,0,0,0,2009
19.99,86,0,0,0,0,0,1,0,0,0,0,0,0,2008
9.99,59,0,1,0,0,0,0,0,0,0,0,0,0,2008
19.99,81,0,0,0,0,1,1,0,0,0,0,0,0,2009
9.99,81,0,0,1,0,0,0,0,0,0,1,0,0,2008
14.99,79,0,0,0,0,0,1,0,0,0,0,0,0,2009
4.99,64,0,0,0,0,0,1,0,0,0,1,0,0,2009
9.99,77,0,0,1,0,0,0,0,0,0,0,0,0,2005
5.99,73,0,0,1,0,1,1,0,0,0,0,0,0,2009
4.99,61,0,0,0,0,0,1,0,0,0,0,0,0,2009
9.99,73,0,0,0,0,1,1,0,0,0,1,0,0,2007
19.99,83,0,0,0,0,0,1,0,0,0,0,0,0,2007
9.99,75,0,1,0,0,0,0,0,0,0,0,0,0,2009
19.99,87,1,0,0,0,0,0,0,0,0,0,0,0,2009
9.99,75,0,0,0,0,0,1,0,0,0,1,0,0,2009
9.99,65,0,1,0,0,0,0,0,0,0,0,0,0,2009
9.99,65,0,0,1,0,0,0,0,0,0,0,0,0,2009
9.99,54,0,1,0,0,1,1,0,0,0,0,0,0,2009
9.99,77,0,0,0,0,0,1,0,0,0,1,0,0,2009
6.99,79,0,1,1,0,0,0,0,0,0,0,0,0,2008
2.99,53,1,0,0,0,0,0,0,0,0,0,0,0,2009
4.99,90,0,1,1,0,0,0,0,0,0,0,0,0,2002
14.99,66,0,0,1,0,0,0,0,1,0,1,0,0,2009
19.99,79,0,0,0,0,1,1,0,0,0,0,0,0,2009
4.99,75,0,0,1,0,0,0,0,0,0,0,0,0,2004
14.99,94,0,1,0,0,0,0,0,0,0,0,0,0,2007
14.99,89,0,1,0,0,0,0,0,0,0,0,0,0,2002
9.99,78,0,0,0,0,0,1,0,0,0,0,0,0,2009
6.99,79,0,0,0,0,1,0,0,0,0,0,0,0,2007
6.99,68,0,0,0,0,1,0,0,0,0,0,0,0,2006
6.99,69,0,0,0,0,1,0,0,0,0,0,0,0,2008
6.99,73,0,0,0,0,1,0,0,0,0,0,0,0,2007
19.99,79,0,0,0,0,1,0,0,0,0,0,0,0,2009
19.99,91,0,0,0,0,0,1,0,0,0,0,0,0,2009
9.99,70,1,0,1,0,1,1,0,1,0,0,0,0,2007
5.99,78,0,0,0,0,0,1,0,0,0,0,0,0,2003
9.99,78,0,0,0,0,0,1,0,0,0,0,0,0,2005
19.99,78,0,0,0,0,1,1,0,0,0,0,0,0,2008
9.99,86,0,0,0,0,1,0,0,0,0,0,0,0,2009
9.99,51,1,0,0,0,0,1,0,0,0,0,0,0,2009
6.99,78,0,0,0,0,1,0,0,0,0,0,0,0,2009
19.99,71,0,0,0,0,0,1,0,0,0,0,0,0,2007
9.99,86,0,0,0,0,0,1,0,0,0,0,0,0,2008
9.99,69,0,0,0,0,1,1,0,0,0,0,0,0,2009
4.99,44,0,0,0,0,0,1,0,0,0,0,0,0,2009
9.99,80,0,0,0,0,0,0,1,0,0,1,0,0,2009
9.99,86,0,1,0,0,0,0,0,0,0,0,0,0,1998
9.99,82,0,0,1,0,0,0,0,0,0,0,0,0,2001
4.99,84,0,0,0,0,1,0,0,0,0,1,0,0,2009
9.99,92,0,0,0,0,0,1,0,0,0,0,0,0,2005
9.99,74,0,0,0,0,1,1,0,0,0,0,0,0,2009
9.99,77,0,1,0,0,0,0,0,0,0,0,0,0,2009
9.99,85,0,0,0,0,1,0,0,0,0,1,0,0,2009
9.99,78,0,0,0,0,0,1,0,0,0,0,0,0,2007
19.99,83,1,0,0,0,0,0,0,0,0,0,0,0,2009
14.99,83,0,1,0,0,0,0,0,0,0,0,0,0,2009
9.99,38,0,0,0,0,0,1,0,0,0,0,0,0,2009
14.99,80,0,1,1,0,0,0,0,0,0,0,0,0,2009
4.99,76,0,0,1,0,0,0,0,0,0,0,0,0,2009
4.99,77,0,0,1,0,0,0,0,0,0,0,0,0,2009
9.99,74,0,1,0,0,0,1,0,0,0,0,0,0,2009
14.99,68,0,0,0,0,0,1,0,0,0,1,0,0,2009
9.99,64,0,0,0,0,1,0,0,0,0,0,0,0,2009
19.99,91,0,1,0,0,0,0,0,0,0,0,0,0,2009
19.99,86,0,0,0,0,0,1,0,0,0,0,0,0,2009
19.99,77,0,0,0,0,1,0,0,0,0,0,0,0,2009
4.99,81,0,1,0,0,0,0,0,0,0,0,0,0,2007
14.99,85,0,0,1,0,0,0,0,0,0,0,0,0,2007
19.99,77,0,0,1,0,0,0,0,0,0,0,0,0,2009
14.99,72,0,0,1,0,0,0,0,1,0,1,0,0,2009
9.99,78,0,0,0,0,0,0,0,1,0,0,0,0,2009
9.99,70,0,1,0,0,1,1,0,0,0,0,0,0,2005
19.99,65,0,0,0,0,0,1,0,0,0,0,0,0,2009
19.99,91,0,1,0,0,0,0,0,0,0,0,0,0,2009
1.99,72,0,0,0,0,0,0,1,0,0,0,0,0,2009
19.99,78,0,0,0,0,1,1,0,0,0,0,0,0,2008
9.99,68,0,1,0,0,0,1,0,0,0,1,0,0,2010
9.99,68,0,0,1,0,0,0,0,0,0,0,0,0,2010
19.99,66,0,0,0,0,1,0,0,0,0,0,0,0,2010
9.99,87,0,0,0,0,0,1,0,0,0,1,0,0,2001
19.99,78,0,1,0,0,0,1,0,0,0,0,0,0,2010
4.99,76,0,0,0,0,0,1,0,0,0,1,0,0,2010
9.99,70,0,0,0,0,0,1,0,0,0,0,0,0,2010
9.99,70,0,0,0,0,0,1,1,0,0,1,0,0,2010
9.99,53,0,0,1,0,0,0,0,1,0,0,0,0,2010
4.99,79,0,0,0,0,1,0,0,0,0,1,0,0,2010
4.99,59,0,0,0,0,0,1,0,0,0,0,0,0,2003
4.99,67,0,0,0,0,0,1,0,0,0,0,0,0,2001
14.99,63,0,0,0,0,1,1,0,0,0,0,0,0,2010
14.99,72,0,1,0,0,0,1,0,0,0,0,0,0,2010
9.99,64,0,0,0,0,0,1,0,0,0,0,0,0,2010
14.99,56,0,1,1,0,0,0,0,0,0,0,0,0,2010
4.99,75,0,0,0,0,0,0,1,0,0,1,0,0,2010
9.99,61,0,0,0,0,0,1,1,0,0,1,0,0,2010
9.99,66,0,0,0,0,0,1,0,0,0,0,0,0,2010
9.99,56,0,0,1,0,0,0,0,1,0,0,0,0,2010
4.99,67,0,0,1,0,0,0,0,0,0,0,0,0,2010
29.99,77,0,0,0,0,0,1,0,0,0,0,0,0,2011
9.99,83,0,1,0,0,0,0,1,0,0,0,0,0,2010
9.99,72,0,0,0,0,0,1,0,0,0,0,0,0,2010
19.99,49,0,0,0,0,0,0,0,1,0,0,0,0,2010
19.99,79,0,0,1,0,0,0,0,0,0,0,0,0,2010
14.99,38,0,0,1,0,0,0,0,1,0,1,0,0,2010
19.99,75,0,0,1,0,0,0,0,0,0,0,0,0,2010
4.99,60,0,0,1,0,0,0,0,0,0,0,0,0,2002
4.99,81,0,0,0,0,0,1,0,0,0,1,0,0,2010
19.99,85,0,0,0,0,1,1,0,0,0,1,0,0,2010
19.99,82,0,1,0,0,0,0,0,0,0,1,0,0,2010
14.99,66,0,0,1,0,0,0,0,0,0,0,0,0,2010
14.99,78,0,1,1,0,0,0,0,0,0,0,0,0,2010
29.99,90,0,0,1,0,0,0,0,0,0,0,0,0,2010
9.99,85,0,0,0,0,0,1,0,0,0,1,0,0,2002
2.99,52,0,0,0,0,1,1,0,0,0,0,0,0,2010
9.99,63,0,0,0,0,0,1,0,0,0,0,0,0,2010
19.99,83,0,0,0,0,1,1,0,0,0,0,0,0,2010
4.99,67,0,0,1,0,0,0,0,1,0,0,0,0,1999
9.99,71,0,0,1,0,0,0,0,0,0,0,0,0,2010
19.99,72,0,0,0,0,0,1,0,0,0,0,0,0,2010
9.99,65,0,1,1,0,0,0,0,0,0,1,0,0,2010
19.99,63,0,0,0,0,1,1,0,0,0,0,0,0,2010
4.99,62,0,0,0,0,1,0,1,0,0,1,0,0,2010
9.99,84,0,1,0,0,0,1,0,0,0,0,0,0,2010
9.99,80,1,0,0,0,0,0,0,0,0,1,0,0,2010
14.99,77,0,1,0,0,0,1,0,0,0,1,0,0,2010
9.99,67,0,0,0,0,0,1,0,0,0,1,0,0,2010
9.99,68,0,0,0,0,1,1,0,0,0,1,0,0,2010
19.99,59,0,0,0,0,0,1,0,0,0,0,0,0,2010
4.99,75,0,1,1,0,0,0,0,1,0,0,0,0,2010
12.99,63,0,0,0,0,1,0,0,0,0,0,0,0,2010
39.99,81,0,0,0,0,0,1,0,0,0,0,0,0,2010
19.99,74,0,0,0,0,1,0,0,0,0,0,0,0,2010
9.99,93,0,0,0,0,0,1,0,0,0,0,0,0,2002
14.99,93,0,0,0,0,0,1,0,0,0,0,0,0,2005
9.99,94,0,0,0,0,0,1,0,0,0,0,0,0,2003
9.99,72,0,0,0,0,0,1,0,0,0,1,0,0,2011
4.99,68,0,0,0,0,0,1,0,0,0,1,0,0,2011
14.99,48,0,0,1,0,0,1,0,0,0,1,0,0,2011
19.99,87,0,0,0,0,0,1,0,0,0,0,0,0,2011
4.99,69,0,0,0,0,1,0,0,0,0,0,0,0,2011
4.99,82,0,0,1,0,0,1,0,0,0,1,0,1,2011
19.99,86,0,0,0,0,0,0,0,1,0,0,0,0,2009
19.99,81,0,0,0,0,0,0,0,1,0,0,0,0,2009
19.99,74,0,0,0,0,0,0,0,1,0,0,0,0,2010
19.99,74,0,0,0,0,0,0,0,1,0,0,0,0,2010
5.99,76,0,0,0,0,0,1,1,0,0,1,0,0,2011
19.99,76,0,1,0,0,0,0,0,0,0,0,0,0,2011
9.99,65,0,1,1,0,0,0,0,0,0,0,0,0,2011
9.99,77,0,0,1,0,0,0,0,0,0,0,0,0,2011
19.99,70,0,0,0,0,0,1,0,0,0,0,0,0,2011
9.99,70,0,0,1,0,0,0,1,1,0,1,0,0,2011
0.0,84,0,1,0,1,0,0,0,0,1,0,0,0,2013
9.99,34,0,0,0,0,0,1,0,0,0,0,0,0,2011
9.99,80,0,0,1,0,0,1,0,0,0,1,0,0,2011
14.99,66,0,0,1,0,0,0,0,0,0,0,0,0,2010
9.99,81,0,0,1,0,0,0,0,0,0,0,0,0,2011
9.99,53,0,0,0,0,0,1,0,0,0,1,0,0,2011
9.99,67,0,0,1,0,0,0,0,0,0,0,0,0,2011
19.99,95,0,0,0,0,1,1,0,0,0,0,0,0,2011
9.99,70,0,0,1,0,0,1,1,0,0,1,0,0,2011
24.99,85,0,0,1,0,0,0,0,0,0,1,0,0,2011
4.99,61,0,0,0,0,1,1,0,0,0,0,0,0,2011
9.99,77,0,0,0,0,1,0,1,0,0,1,0,0,2011
19.99,70,0,0,0,0,0,0,0,1,0,0,0,0,2011
7.99,67,0,0,0,0,1,0,0,0,0,0,0,0,2009
7.99,75,0,0,0,0,1,0,0,0,0,0,0,0,2005
14.99,72,0,1,0,0,0,1,0,0,0,0,0,0,2011
19.99,54,0,0,0,0,0,1,0,0,0,0,0,0,2011
0.0,72,0,1,0,1,0,0,0,0,1,0,0,0,2009
0.0,64,0,1,0,1,1,1,0,0,1,1,0,0,2011
19.99,77,0,0,1,0,0,0,0,0,0,0,0,0,2011
9.99,72,0,0,0,0,0,0,1,0,0,1,0,0,2011
19.99,74,0,0,0,0,0,1,0,0,0,0,0,0,2011
9.99,63,0,0,0,0,1,0,1,0,0,0,0,0,2011
0.99,75,0,0,0,0,1,1,0,0,0,1,0,0,2011
9.99,69,0,1,0,0,1,0,0,0,0,1,0,0,2011
14.99,78,0,0,1,0,0,0,0,1,0,0,0,0,2011
6.99,74,0,0,0,0,0,1,0,0,0,1,0,0,2011
9.99,74,0,1,1,0,0,1,0,0,0,1,0,0,2011
4.99,57,0,1,0,0,0,1,0,0,0,0,0,0,2011
14.99,63,0,1,0,0,1,1,0,0,0,0,0,0,2011
29.99,74,0,0,0,0,0,1,0,0,0,0,0,0,2011
7.99,68,0,0,1,0,0,0,0,0,0,0,0,0,2011
14.99,73,0,0,0,0,0,1,0,0,0,1,0,0,2012
9.99,74,1,0,1,0,0,1,0,0,0,1,0,0,2011
19.99,76,0,0,0,0,0,1,0,1,1,0,0,0,2011
9.99,51,0,0,0,0,1,1,0,0,0,0,0,0,2011
9.99,70,0,1,1,0,0,0,0,1,0,0,0,0,2011
9.99,78,0,1,0,0,0,0,0,0,0,0,0,0,2011
14.99,81,0,0,1,0,0,0,0,0,0,0,0,0,2011
4.99,84,0,1,0,0,1,1,0,0,0,1,0,0,2011
4.99,60,1,0,0,0,0,0,0,1,0,0,0,0,2011
14.99,86,0,0,1,0,0,0,0,0,0,0,0,0,2007
18.99,70,0,0,1,0,0,0,1,1,0,1,0,0,2011
1.99,55,0,0,0,0,0,1,0,0,0,0,0,0,2011
5.99,65,0,0,0,0,0,1,0,1,0,0,0,0,2011
19.99,66,0,0,0,0,1,1,0,0,0,0,0,0,2011
14.99,63,0,0,1,0,0,0,0,0,0,0,0,0,2011
19.99,79,0,0,0,0,0,0,0,1,0,0,0,0,2011
4.99,64,0,1,0,0,0,1,0,0,0,1,0,0,2011
4.99,70,0,1,0,0,0,0,0,0,0,1,0,0,2011
9.99,57,0,0,1,0,0,0,0,1,0,0,0,0,2011
8.99,51,0,0,0,0,0,1,0,0,0,1,0,0,2011
0.0,72,0,1,0,1,1,1,0,0,1,0,0,0,2011
19.99,77,0,0,0,0,0,1,0,0,0,0,0,0,2011
19.99,83,0,0,1,0,1,0,0,0,0,0,0,0,2011
9.99,73,1,0,0,0,0,0,0,0,0,1,0,0,2011
19.99,92,0,0,1,0,0,0,0,0,0,0,0,0,2011
9.99,69,0,0,0,0,0,1,0,0,0,0,0,0,2011
9.99,75,0,0,0,0,0,1,0,1,0,0,0,0,2011
19.99,84,0,0,0,0,1,1,0,0,0,1,0,0,2013
9.99,83,0,1,0,0,1,1,0,0,0,0,0,0,2011
7.99,67,0,0,1,0,0,0,0,0,0,1,0,0,2012
9.99,66,0,1,1,0,0,0,0,0,0,0,0,0,2012
9.99,74,0,0,0,0,0,1,0,0,0,1,0,0,2005
0.0,76,0,1,0,1,0,0,0,0,1,0,0,0,2010
19.99,62,0,1,1,0,0,0,0,1,0,0,0,0,2012
9.99,62,0,0,0,0,0,1,0,0,0,1,0,0,2012
9.99,76,0,0,1,0,0,0,0,0,0,0,0,0,2012
9.99,81,0,0,0,0,0,1,1,0,0,1,0,0,2012
39.99,82,0,1,1,0,0,0,0,1,0,0,0,0,2012
9.99,83,0,0,0,0,1,1,0,0,0,0,0,0,2012
11.99,24,0,0,0,0,0,1,0,0,0,0,0,0,2011
13.99,46,0,1,0,0,0,0,0,1,0,0,0,0,2012
0.0,82,0,1,0,1,0,1,0,0,1,1,0,0,2012
19.99,86,0,0,0,0,1,1,0,0,0,0,0,0,2012
19.99,81,0,0,1,0,0,1,0,0,0,1,0,0,2012
9.99,80,0,0,0,0,1,0,0,0,0,1,0,0,2012
2.99,81,0,0,0,0,1,1,0,0,0,1,0,0,2012
9.99,58,0,0,1,0,0,0,0,0,0,0,0,0,2012
3.99,74,0,0,1,0,0,0,0,0,0,1,0,0,2012
9.99,80,0,0,0,0,1,0,1,0,0,0,0,0,2012
14.99,73,0,1,0,0,1,1,0,0,0,0,0,0,2012
1.99,81,0,0,1,0,1,0,0,0,0,1,0,0,2012
29.99,86,0,0,1,0,0,0,0,0,0,0,0,0,2012
6.99,78,0,0,1,0,0,0,0,1,0,0,0,0,2012
9.99,72,1,0,0,0,0,0,0,0,0,0,0,0,2012
9.99,51,0,1,1,0,0,1,0,0,0,0,0,0,2012
9.99,69,0,1,0,0,0,0,0,0,0,0,0,0,2012
14.99,68,0,0,0,0,0,1,0,0,0,0,0,0,2012
9.99,62,0,0,0,0,0,0,0,0,0,1,0,0,2012
9.99,71,0,0,1,0,0,1,1,1,0,0,0,0,2012
29.99,48,0,0,0,0,0,1,0,0,0,0,0,0,2012
9.99,69,0,0,1,0,0,0,0,1,0,1,0,0,2012
19.99,76,0,1,0,0,1,1,0,0,0,0,0,0,2012
19.99,87,0,0,0,0,0,1,0,0,0,0,0,0,2012
0.0,86,0,1,0,1,0,0,0,0,1,0,0,0,2012
9.99,70,0,0,0,0,0,0,1,0,0,1,0,0,2012
14.99,52,0,1,1,0,1,1,0,0,0,1,0,0,2012
0.0,76,0,1,0,1,1,1,0,0,1,0,0,0,2012
19.99,75,0,0,0,0,1,0,0,0,0,1,0,0,2012
19.99,71,0,0,0,0,0,1,0,0,0,0,0,0,2012
8.99,77,0,0,1,0,0,0,1,0,0,0,0,0,2012
0.0,86,0,0,0,1,0,1,0,0,0,0,0,0,2012
5.99,81,0,1,0,0,0,0,0,0,0,0,0,0,2002
14.99,73,0,0,0,0,0,1,0,0,0,0,0,0,2012
19.99,82,0,0,0,0,1,0,0,0,0,0,0,0,2012
9.99,65,0,0,1,0,0,1,0,0,0,1,0,0,2012
4.99,75,0,0,1,0,0,0,0,0,0,1,0,0,2012
14.99,75,0,0,1,0,0,1,0,0,0,0,0,0,2012
14.99,83,0,0,0,0,0,1,0,0,0,0,0,0,2012
9.99,85,0,1,0,0,0,0,0,0,0,0,0,0,2005
9.99,76,0,1,0,0,0,1,0,0,0,1,0,0,2010
9.99,78,0,0,0,0,0,0,0,0,0,1,0,0,2012
19.99,91,0,0,0,0,1,1,0,0,0,0,0,0,2012
9.99,81,0,1,0,0,1,0,0,0,0,1,0,0,2011
9.99,80,0,0,0,0,0,1,0,0,0,1,0,0,2012
19.99,73,0,0,0,0,1,0,0,0,0,0,0,0,2012
19.99,44,0,0,1,0,0,1,0,0,0,1,0,0,2012
4.99,74,0,0,0,0,1,0,0,0,0,1,0,0,2012
29.99,78,0,0,0,0,0,0,1,1,0,0,0,0,2012
19.99,75,0,0,0,0,1,0,0,0,0,1,0,0,2012
19.99,84,0,0,1,0,0,0,0,0,0,1,0,0,2012
7.99,67,0,0,0,0,0,1,0,0,0,1,0,0,2012
14.99,77,0,0,0,0,0,1,0,0,0,1,0,0,2012
9.99,60,0,0,1,0,0,0,1,0,0,0,0,0,2012
9.99,85,0,0,0,0,0,1,0,0,0,1,0,0,2012
4.99,64,0,0,0,0,1,1,0,1,0,1,0,0,2012
14.95,78,0,0,0,0,0,1,0,0,0,0,0,0,2006
5.99,73,0,1,0,0,0,0,0,0,0,0,0,0,2004
9.99,59,0,0,0,0,1,1,0,0,0,1,0,0,2003
14.99,62,1,0,0,0,0,0,0,0,0,0,0,0,2012
19.99,78,0,0,0,0,1,0,0,0,0,1,0,0,2012
14.99,53,0,0,1,0,0,0,0,0,0,1,0,0,2012
9.99,77,0,0,0,0,0,1,0,0,0,1,0,0,2012
9.99,80,0,0,0,0,1,1,0,0,0,1,0,0,2012
12.99,66,0,0,0,0,1,0,0,0,0,0,0,0,2012
59.99,74,0,0,0,0,0,1,0,0,0,0,0,0,2012
14.99,76,0,0,0,0,1,1,0,0,0,1,0,0,2012
9.99,80,0,0,0,0,0,1,0,0,0,1,0,0,2012
7.99,84,1,0,0,0,0,0,0,1,0,0,0,1,2005
19.99,73,0,0,0,0,1,0,0,0,0,1,0,0,2012
9.99,72,0,0,0,0,1,0,0,0,0,1,0,0,2012
6.99,70,0,0,0,0,1,1,0,0,0,0,0,0,2003
6.99,77,0,0,0,0,1,1,0,0,0,0,0,0,2001
9.99,72,0,0,0,0,1,0,0,0,0,1,0,0,2012
9.99,73,0,0,1,0,0,1,1,0,0,0,0,0,2013
19.99,66,0,0,0,0,0,1,0,1,0,1,0,0,2013
14.99,68,0,0,0,0,1,0,0,0,0,0,0,0,2013
19.99,77,0,0,0,0,0,1,0,1,0,0,0,0,2013
29.99,85,0,0,0,0,1,1,0,0,0,0,0,0,2013
9.99,70,0,0,0,0,0,1,0,0,0,1,0,0,2013
6.99,79,0,0,0,0,0,1,0,0,0,1,0,0,2013
14.99,68,0,0,1,0,1,1,0,0,0,1,0,0,2013
19.99,71,0,0,1,0,0,0,0,1,0,0,0,0,2013
9.99,74,0,0,0,0,1,0,0,1,0,1,0,0,2013
19.99,85,1,0,0,0,0,1,0,0,0,0,0,0,2013
1.99,56,0,0,0,0,0,1,0,0,0,1,0,0,1997
29.99,69,0,0,0,0,1,1,0,0,0,0,0,0,2013
9.99,75,0,0,0,0,1,1,0,0,0,1,0,0,2013
9.99,61,0,1,0,0,1,0,0,0,0,1,0,0,2013
14.99,52,0,0,1,0,0,0,0,1,0,1,0,1,2013
7.99,68,0,0,1,0,0,0,0,0,0,1,0,0,2013
14.99,70,0,0,0,0,1,0,0,0,0,1,0,0,2013
9.99,71,0,0,0,0,0,1,0,1,0,1,0,0,2013
9.99,58,0,0,0,0,0,1,0,0,0,0,0,0,2013
19.99,74,0,0,1,0,0,0,0,0,0,1,0,0,2013
14.99,59,0,1,0,0,0,1,0,0,0,0,0,0,2013
4.99,75,0,0,0,0,0,0,1,0,0,0,0,1,2013
29.99,61,0,0,1,0,0,0,0,0,0,1,0,0,2013
14.99,77,0,0,1,0,0,1,0,0,0,1,0,0,2013
9.99,75,0,0,1,0,0,0,0,1,0,1,0,0,2013
4.99,49,0,0,0,0,0,1,0,0,0,1,0,0,2013
29.99,77,0,0,0,0,1,1,0,0,0,0,0,0,2013
14.99,88,0,0,1,0,0,0,0,0,0,0,0,0,2013
29.99,65,0,0,0,0,1,1,0,0,0,0,0,0,2013
9.99,58,0,1,1,0,0,0,1,0,0,1,0,0,2013
9.99,87,0,1,0,0,0,1,0,0,0,0,0,0,2013
19.99,80,0,0,1,0,0,0,0,0,0,0,0,0,2013
4.99,78,0,0,0,0,1,0,0,0,0,0,0,0,2013
9.99,41,0,1,0,0,0,1,0,0,0,0,0,0,2013
19.99,79,1,0,0,0,0,0,0,0,0,0,0,1,2013
9.99,74,0,0,0,0,0,1,0,0,0,1,0,0,2013
24.99,74,0,0,0,0,1,0,0,0,0,0,0,0,2013
9.99,67,0,0,0,0,1,0,0,0,0,1,0,0,2013
14.99,76,0,1,1,0,1,0,0,0,0,1,0,0,2013
